Data,Gerdau preferenciais,Gerdau Metalúrgica preferenciais,Vale,Usiminas,CSN,ArcelorMittal Brasil
2/15/2017,10.86317921,7.310469627,23.8222065,4.690680504,9.835503578,
2/16/2017,10.94449234,7.357183456,23.78699303,4.639695168,9.742203712,
2/17/2017,10.83065414,7.294897556,23.99830437,4.631196976,9.726652145,
2/20/2017,10.93636036,7.294897556,25.66064835,4.631196976,9.874379158,
2/21/2017,11.11524391,7.248187542,25.03374863,4.597207069,9.835503578,
2/22/2017,10.65989971,7.053552151,24.43502045,4.486739159,9.680001259,
2/23/2017,10.41596794,6.967912674,23.36436272,4.274298191,9.330121994,
2/24/2017,10.52980328,7.100263596,23.04738808,4.189321995,9.314570427,
3/1/2017,10.814394,7.123619556,23.36436272,4.257302761,9.423423767,
3/2/2017,10.62737846,7.341611385,22.15986824,4.223311901,9.127967834,
3/3/2017,10.85505009,7.497320175,22.41344643,4.410260201,9.314570427,
3/6/2017,10.65989971,7.396108627,21.90629005,4.350775719,8.980240822,
3/7/2017,10.58672237,7.473962784,21.77950287,4.223311901,8.785865784,
3/8/2017,9.871184349,8.797477722,21.21599579,4.044863224,8.249382019,
3/9/2017,9.716691971,8.766335487,21.25825691,4.112843513,8.171630859,
3/10/2017,9.684167862,8.704051971,20.88493729,3.942890882,8.373785019,
3/13/2017,10.05819702,9.031039238,21.84289742,4.01087141,8.591487885,
3/14/2017,10.09885502,9.077750206,21.95559502,3.951389313,8.342681885,
3/15/2017,10.62737846,9.498161316,23.47002029,4.155331135,8.879165649,
3/16/2017,10.42409801,9.521515846,22.91355896,4.002374172,8.638137817,
3/17/2017,10.03380585,8.999896049,22.04716682,3.764441013,8.264931679,
3/20/2017,10.27773857,9.272384644,22.2796154,3.798431158,8.513734818,
3/21/2017,9.545938492,8.742978096,20.45526314,3.518010378,7.751777172,
3/22/2017,9.545938492,8.7507658,20.70883751,3.568995953,7.775101185,
3/23/2017,9.310136795,8.524987221,20.596138,3.543503761,7.681801319,
3/24/2017,9.066202164,8.33813858,20.42708778,3.441532135,7.611823559,
3/27/2017,8.952365875,8.244716644,20.70179558,3.738948584,7.922827244,
3/28/2017,8.944233894,8.291425705,20.9976368,3.687962532,7.565172195,
3/29/2017,8.993021965,8.306999207,21.20895195,3.772938013,7.541849613,
3/30/2017,8.700303078,8.127933502,21.20191002,3.755944014,7.153093338,
3/31/2017,8.854792595,8.213572502,20.98355103,3.772938013,7.083117008,
4/3/2017,8.732826233,8.06565094,20.78632164,3.7134552,6.974265575,
4/4/2017,8.862921715,8.275856972,21.58931541,3.662470102,7.223068714,
4/5/2017,8.659645081,7.98001194,20.74405861,3.492517948,6.873188972,
4/6/2017,8.513285637,7.925512791,20.36369133,3.348058701,6.733237743,
4/7/2017,8.578334808,8.018938065,20.53274345,3.416039467,6.795437813,
4/10/2017,8.415710449,7.707525253,20.4482193,3.450030088,6.569960117,
4/11/2017,8.155515671,7.707525253,20.18759727,3.373550892,6.523309708,
4/12/2017,7.740828991,7.240401268,19.31416512,3.220594168,5.955727577,
4/13/2017,7.683909893,7.232614517,19.31416512,3.144115686,5.753575802,
4/17/2017,7.82213974,7.170333385,19.32120705,3.39054656,5.940177441,
4/18/2017,7.618860722,7.084694862,18.7436142,3.365053415,5.683598518,
4/19/2017,7.561943531,7.061337471,18.78587532,3.365053415,5.520322323,
4/20/2017,7.765221119,7.217045307,19.75792503,3.433034182,5.800225258,
4/24/2017,7.854664803,7.357183456,19.98034668,3.424536943,5.738024712,
4/25/2017,8.001026154,7.575173378,20.63543701,3.441532135,5.924627781,
4/26/2017,7.976632595,7.45839262,20.1841526,3.628479242,6.173430443,
4/27/2017,7.870926857,7.294897556,19.52905655,3.52650857,5.909076691,
4/28/2017,7.968502045,7.528460503,19.99490166,3.619982243,6.025704384,
5/2/2017,8.171777725,7.72309494,20.42435074,3.74744606,6.165654659,
5/3/2017,7.773353577,7.318254948,19.15783691,3.602986097,5.909076691,
5/4/2017,7.602600098,7.061337471,18.45179558,3.416039467,5.504771233,
5/5/2017,7.578206539,7.108050346,18.96130943,3.552001238,5.753575802,
5/8/2017,7.472500801,7.006840229,18.94675446,3.484020233,5.566972256,
5/9/2017,7.78148222,7.310469627,19.28885651,3.560498714,5.753575802,
5/10/2017,7.976632595,7.520675182,19.33252907,3.653972626,5.877976894,
5/11/2017,8.106729507,7.699738979,19.15783691,3.636976957,5.831326008,
5/12/2017,7.82213974,7.427250385,18.85940742,3.518010378,5.644723415,
5/15/2017,8.114861488,7.707525253,19.39804077,3.730450869,5.98682785,
5/16/2017,8.415710449,7.902157784,19.84204865,3.823924541,6.056803703,
5/17/2017,8.318137169,7.832090855,19.53633881,3.738948584,5.815776348,
5/18/2017,7.318010807,6.967912674,19.55089569,3.135617971,5.007164955,
5/19/2017,7.773353577,7.318254948,19.8347683,3.314068079,5.364819527,
5/22/2017,7.643255711,7.248187542,20.32244873,3.305570602,5.380369186,
5/23/2017,8.001026154,7.606314182,20.56992912,3.407541752,5.434795856,
5/24/2017,7.854664803,7.505106449,20.03129768,3.441532135,5.349270344,
5/25/2017,7.757091045,7.357183456,20.16231728,3.458527327,5.40369463,
5/26/2017,7.765221119,7.341611385,20.27877617,3.450030088,5.41924572,
5/29/2017,7.765221119,7.341611385,20.27877617,3.450030088,5.41924572,
5/30/2017,8.082333565,7.699738979,20.81740952,3.475522518,5.582522869,
5/31/2017,7.757091045,7.3649683,19.77653694,3.373550892,5.33371973,
6/1/2017,7.740828991,7.318254948,19.41259766,3.314068079,5.201542377,
6/2/2017,7.773353577,7.341611385,19.49266624,3.365053415,5.248193264,
6/5/2017,7.675778866,7.271544456,19.28157806,3.339560986,5.147116661,
6/6/2017,7.700172424,7.318254948,19.34708977,3.382048845,5.131567001,
6/7/2017,7.594468117,7.170333385,19.25246239,3.365053415,5.030490398,
6/8/2017,7.78148222,7.357183456,19.66735458,3.407541752,5.131567001,
6/9/2017,7.86279726,7.427250385,19.87116241,3.356556177,5.217092991,
6/12/2017,7.740828991,7.3649683,19.53633881,3.348058701,5.061591148,
