"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2021","12.27","12.54","12.60","12.10","20.59M","-1.13%"
"10/29/2021","12.41","13.15","13.15","12.30","34.66M","-7.54%"
"10/28/2021","13.43","13.23","13.60","13.09","18.55M","0.99%"
"10/27/2021","13.29","13.46","13.85","13.15","23.39M","-0.21%"
"10/26/2021","13.32","13.66","13.86","13.23","23.68M","-3.13%"
"10/25/2021","13.75","13.59","13.89","13.59","15.66M","2.30%"
"10/22/2021","13.44","13.16","13.68","12.90","36.40M","1.34%"
"10/21/2021","13.27","13.58","13.69","12.90","33.76M","-5.41%"
"10/20/2021","14.03","14.69","14.69","13.91","35.99M","-3.98%"
"10/19/2021","14.61","14.97","15.25","14.33","23.53M","-3.05%"
"10/18/2021","15.07","15.31","15.32","14.84","24.53M","-3.02%"
"10/15/2021","15.53","15.30","15.70","15.20","12.20M","1.78%"
"10/14/2021","15.26","15.53","15.80","15.22","17.82M","-0.12%"
"10/13/2021","15.28","15.22","15.66","15.01","18.22M","-1.33%"
"10/11/2021","15.49","15.89","16.27","15.45","21.32M","-0.12%"
"10/08/2021","15.51","15.08","15.87","15.06","26.99M","4.95%"
"10/07/2021","14.78","15.00","15.34","14.71","24.64M","-0.06%"
"10/06/2021","14.78","14.59","14.90","14.20","30.25M","-0.94%"
"10/05/2021","14.92","15.07","15.36","14.76","16.70M","-0.38%"
"10/04/2021","14.98","15.82","15.85","14.96","32.29M","-5.22%"
